,id,symbol,name,platform type,contract address
0,01coin,zoc,01coin,,
1,0-5x-long-algorand-token,algohalf,0.5X Long Algorand Token,ethereum,
2,0-5x-long-altcoin-index-token,althalf,0.5X Long Altcoin Index Token,ethereum,
3,0-5x-long-balancer-token,balhalf,0.5X Long Balancer Token,ethereum,
4,0-5x-long-bitcoin-cash-token,bchhalf,0.5X Long Bitcoin Cash Token,ethereum,
5,0-5x-long-bitcoin-sv-token,bsvhalf,0.5X Long Bitcoin SV Token,ethereum,
6,0-5x-long-bitcoin-token,half,0.5X Long Bitcoin Token,ethereum,
7,0-5x-long-cardano-token,adahalf,0.5X Long Cardano Token,ethereum,
8,0-5x-long-chainlink-token,linkhalf,0.5X Long Chainlink Token,ethereum,
9,0-5x-long-cosmos-token,atomhalf,0.5X Long Cosmos Token,ethereum,
10,0-5x-long-defi-index-token,defihalf,0.5X Long DeFi Index Token,ethereum,
11,0-5x-long-dogecoin-token,dogehalf,0.5X Long Dogecoin Token,ethereum,
12,0-5x-long-dragon-index-token,drgnhalf,0.5X Long Dragon Index Token,ethereum,
13,0-5x-long-echange-token-index-token,exchhalf,0.5X Long Exchange Token Index Token,ethereum,
14,0-5x-long-eos-token,eoshalf,0.5X Long EOS Token,ethereum,
15,0-5x-long-ethereum-classic-token,etchalf,0.5X Long Ethereum Classic Token,ethereum,
16,0-5x-long-ethereum-token,ethhalf,0.5X Long Ethereum Token,ethereum,
17,0-5x-long-kyber-network-token,knchalf,0.5X Long Kyber Network Token,ethereum,
18,0-5x-long-matic-token,matichalf,0.5X Long Matic Token,ethereum,
19,0-5x-long-midcap-index-token,midhalf,0.5X Long Midcap Index Token,ethereum,
20,0-5x-long-okb-token,OKBHALF,0.5X Long OKB Token,ethereum,
21,0-5x-long-pax-gold-token,PAXGHALF,0.5X Long PAX Gold Token,ethereum,
22,0-5x-long-privacy-index-token,privhalf,0.5X Long Privacy Index Token,ethereum,
23,0-5x-long-shitcoin-index-token,halfshit,0.5X Long Shitcoin Index Token,ethereum,
24,0-5x-long-swipe-token,sxphalf,0.5X Long Swipe Token,ethereum,
25,0-5x-long-tether-gold-token,xauthalf,0.5X Long Tether Gold Token,ethereum,
26,0-5x-long-tezos-token,xtzhalf,0.5X Long Tezos Token,ethereum,
27,0-5x-long-theta-network-token,thetahalf,0.5X Long Theta Network Token,ethereum,
28,0-5x-long-xrp-token,xrphalf,0.5X Long XRP Token,ethereum,
29,0cash,zch,0cash,,
30,0chain,zcn,0chain,ethereum,"0xb9ef770b6a5e12e45983c5d80545258aa38f3b78, polygon-pos 0x8bb30e0e67b11b978a5040144c410e1ccddcba30"
31,0x,zrx,0x,ethereum,"0xe41d2489571d322189246dafa5ebde1f4699f498, polygon-pos 0x5559edb74751a0ede9dea4dc23aee72cca6be3d5, harmony-shard-0 0x8143e2a1085939caa9cef6665c2ff32f7bc08435"
32,0xcert,zxc,0xcert,ethereum,0x83e2be8d114f9661221384b3a50d24b96a5653f5
33,0xcharts,0xc,0xCharts,binance-smart-chain,0x86dd49963fe91f0e5bc95d171ff27ea996c0890c
34,0xmonero,0xmr,0xMonero,ethereum,"0x035df12e0f3ac6671126525f1015e47d79dfeddf, binance-smart-chain 0x22a213852cee93eb6d41601133414d180c5684c2, polygon-pos 0x52ede6bba83b7b4ba1d738df0df713d6a2036b71, xdai 0x8c88ea1fd60462ef7004b9e288afcb4680a3c50c"
35,100x-coin,100x,100xCoin,binance-smart-chain,0x016c285d5b918b92aa85ef1e147498badfe30d69
36,10x-gg,xgg,10x.gg,ethereum,0x06b179e292f080871825bed5d722162fd96b4c95
37,12ships,TSHP,12Ships,ethereum,0x525794473f7ab5715c81d06d10f52d11cc052804
38,1337,1337,Elite,,
39,1ai,1ai,1AI,ethereum,0x208bbb6bcea22ef2011789331405347394ebaa51
40,1inch,1inch,1inch,ethereum,"0x111111111117dc0aa78b770fa6a738034120c302, binance-smart-chain 0x111111111117dc0aa78b770fa6a738034120c302, polygon-pos 0x9c2c5fd7b07e95ee044ddeba0e97a665f142394f, harmony-shard-0 0x58f1b044d8308812881a1433d9bbeff99975e70c"
41,1irstgold,1gold,1irstGold,,
42,1million-nfts,1mil,1MillionNFTs,ethereum,0xa4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016
43,1million-token,1mt,1Million Token,ethereum,"0xf0bc1ae4ef7ffb126a8347d06ac6f8add770e1ce, binance-smart-chain 0x8d67448d4f6231abc070a42a8905084b79e09136, polygon-pos 0x2052344ceace7f140da3e819c7729fef72f97851"
44,1world,1wo,1World,ethereum,0xfdbc1adc26f0f8f8606a5d63b7d3a3cd21c22b23
45,1x-long-btc-implied-volatility-token,bvol,Bitcoin Volatility Token,ethereum,0x81824663353a9d29b01b2de9dd9a2bb271d298cd
46,1x-short-algorand-token,algohedge,1X Short Algorand Token,ethereum,0xfdc3d57eb7839ca68a2fad7a93799c8e8afa61b7
47,1x-short-bitcoin-cash-token,bchhedge,1X Short Bitcoin Cash Token,ethereum,0x02e88a689fdfb920e7aa6174fb7ab72add3c5694
48,1x-short-bitcoin-token,hedge,1X Short Bitcoin Token,ethereum,0x1fa3bc860bf823d792f04f662f3aa3a500a68814
49,1x-short-bnb-token,bnbhedge,1X Short BNB Token,ethereum,0x2840ad41cf25ad58303ba24c416e79dce4161b4f
50,1x-short-btc-implied-volatility,ibvol,Inverse Bitcoin Volatility Token,ethereum,0x627e2ee3dbda546e168eaaff25a2c5212e4a95a0
51,1x-short-cardano-token,adahedge,1X Short Cardano Token,ethereum,
52,1x-short-chainlink-token,LINKHEDGE,1X Short Chainlink Token,ethereum,
53,1x-short-compound-token-token,comphedge,1X Short Compound Token Token,ethereum,
54,1x-short-compound-usdt-token,cusdthedge,1X Short Compound USDT Token,ethereum,
55,1x-short-cosmos-token,atomhedge,1X Short Cosmos Token,ethereum,
56,1x-short-defi-index-token,defihedge,1X Short DeFi Index Token,ethereum,
57,1x-short-dogecoin-token,dogehedge,1X Short Dogecoin Token,ethereum,
58,1x-short-eos-token,eoshedge,1X Short EOS Token,ethereum,0xb38f206615325306dddeb0794a6482486b6b78b8
